forecast_generated_at,forecast_horizon_hours,timestamp,weather_zone,ghi_wm2,dni_wm2,dhi_wm2,temperature_c,cloud_cover_pct,rainfall_mm,wind_speed_ms,weather_quality_flag
2026-06-13T18:00:00+05:30,6,2026-06-14T00:00:00+05:30,PUNE_WEST,0,0.0,0.0,20.7,44.6,0.0,3.1,GOOD
2026-06-13T18:00:00+05:30,6,2026-06-14T00:15:00+05:30,PUNE_WEST,0,0.0,0.0,20,45.0,0.0,2.5,GOOD
2026-06-13T18:00:00+05:30,6,2026-06-14T00:30:00+05:30,PUNE_WEST,0,0.0,0.0,20.4,44.3,0.0,3.6,GOOD
2026-06-13T18:00:00+05:30,6,2026-06-14T00:45:00+05:30,PUNE_WEST,0,0.0,0.0,20.3,43.7,0.0,2.3,GOOD
2026-06-13T18:00:00+05:30,7,2026-06-14T01:00:00+05:30,PUNE_WEST,0,0.0,0.0,20.3,45.8,0.0,3.1,GOOD
2026-06-13T18:00:00+05:30,7,2026-06-14T01:15:00+05:30,PUNE_WEST,0,0.0,0.0,20.3,42.9,0.0,3.7,GOOD
2026-06-13T18:00:00+05:30,7,2026-06-14T01:30:00+05:30,PUNE_WEST,0,0.0,0.0,20.2,45.2,0.0,3.0,GOOD
2026-06-13T18:00:00+05:30,7,2026-06-14T01:45:00+05:30,PUNE_WEST,0,0.0,0.0,20,42.5,0.0,3.3,GOOD
2026-06-13T18:00:00+05:30,8,2026-06-14T02:00:00+05:30,PUNE_WEST,0,0.0,0.0,20,43.9,0.0,3.4,GOOD
2026-06-13T18:00:00+05:30,8,2026-06-14T02:15:00+05:30,PUNE_WEST,0,0.0,0.0,20,42.7,0.0,2.6,GOOD
2026-06-13T18:00:00+05:30,8,2026-06-14T02:30:00+05:30,PUNE_WEST,0,0.0,0.0,21.2,40.2,0.0,4.2,GOOD
2026-06-13T18:00:00+05:30,8,2026-06-14T02:45:00+05:30,PUNE_WEST,0,0.0,0.0,20.3,40.0,0.0,4.0,GOOD
2026-06-13T18:00:00+05:30,9,2026-06-14T03:00:00+05:30,PUNE_WEST,0,0.0,0.0,20.8,41.3,0.0,3.3,GOOD
2026-06-13T18:00:00+05:30,9,2026-06-14T03:15:00+05:30,PUNE_WEST,0,0.0,0.0,21.4,39.6,0.0,3.8,GOOD
2026-06-13T18:00:00+05:30,9,2026-06-14T03:30:00+05:30,PUNE_WEST,0,0.0,0.0,20.4,41.0,0.0,3.6,GOOD
2026-06-13T18:00:00+05:30,9,2026-06-14T03:45:00+05:30,PUNE_WEST,0,0.0,0.0,20,41.9,0.0,2.6,GOOD
2026-06-13T18:00:00+05:30,10,2026-06-14T04:00:00+05:30,PUNE_WEST,0,0.0,0.0,20,39.4,0.0,4.0,GOOD
2026-06-13T18:00:00+05:30,10,2026-06-14T04:15:00+05:30,PUNE_WEST,0,0.0,0.0,21.0,41.8,0.0,4.0,GOOD
2026-06-13T18:00:00+05:30,10,2026-06-14T04:30:00+05:30,PUNE_WEST,0,0.0,0.0,20.6,42.0,0.0,4.4,GOOD
2026-06-13T18:00:00+05:30,10,2026-06-14T04:45:00+05:30,PUNE_WEST,0,0.0,0.0,20,42.3,0.0,2.3,GOOD
2026-06-13T18:00:00+05:30,11,2026-06-14T05:00:00+05:30,PUNE_WEST,0,0.0,0.0,21.6,40.5,0.0,3.0,GOOD
2026-06-13T18:00:00+05:30,11,2026-06-14T05:15:00+05:30,PUNE_WEST,0,0.0,0.0,20.8,41.5,0.0,2.8,GOOD
2026-06-13T18:00:00+05:30,11,2026-06-14T05:30:00+05:30,PUNE_WEST,0,0.0,0.0,20.6,42.6,0.0,3.3,GOOD
2026-06-13T18:00:00+05:30,11,2026-06-14T05:45:00+05:30,PUNE_WEST,0,0.0,0.0,22.2,45.5,0.0,3.7,GOOD
2026-06-13T18:00:00+05:30,12,2026-06-14T06:00:00+05:30,PUNE_WEST,0,0.0,0.0,22.7,44.8,0.0,3.4,GOOD
2026-06-13T18:00:00+05:30,12,2026-06-14T06:15:00+05:30,PUNE_WEST,40.0,181.9,17.8,23.1,47.6,0.0,3.5,GOOD
2026-06-13T18:00:00+05:30,12,2026-06-14T06:30:00+05:30,PUNE_WEST,73.2,345.2,31.1,22.9,44.2,0.0,3.5,GOOD
2026-06-13T18:00:00+05:30,12,2026-06-14T06:45:00+05:30,PUNE_WEST,124.1,431.0,53.4,23.2,45.1,0.0,3.2,GOOD
2026-06-13T18:00:00+05:30,13,2026-06-14T07:00:00+05:30,PUNE_WEST,174.3,455.1,73.8,23.5,43.9,0.0,3.1,GOOD
2026-06-13T18:00:00+05:30,13,2026-06-14T07:15:00+05:30,PUNE_WEST,213.1,462.0,85.1,23.9,39.8,0.0,3.3,GOOD
2026-06-13T18:00:00+05:30,13,2026-06-14T07:30:00+05:30,PUNE_WEST,273.3,484.2,112.1,24.5,41.7,0.0,2.6,GOOD
2026-06-13T18:00:00+05:30,13,2026-06-14T07:45:00+05:30,PUNE_WEST,336.1,520.1,134.4,24.6,40.0,0.0,3.1,GOOD
2026-06-13T18:00:00+05:30,14,2026-06-14T08:00:00+05:30,PUNE_WEST,357.9,466.9,151.7,25.7,44.0,0.0,2.9,GOOD
2026-06-13T18:00:00+05:30,14,2026-06-14T08:15:00+05:30,PUNE_WEST,404.4,458.7,177.8,26.2,46.6,0.0,3.8,GOOD
2026-06-13T18:00:00+05:30,14,2026-06-14T08:30:00+05:30,PUNE_WEST,454.9,471.7,197.9,25.5,45.8,0.0,2.8,GOOD
2026-06-13T18:00:00+05:30,14,2026-06-14T08:45:00+05:30,PUNE_WEST,529.2,499.2,232.7,27.1,46.6,0.0,2.9,GOOD
